HIP|RAhms|DEdms|Vmag|RAICRS|DEICRS
 40321|08 13 58.32|-36 19 20.3| 5.09|123.49299197|-36.32229977
 40326|08 14 02.89|-40 20 51.8| 4.42|123.51202967|-40.34773028
 40344|08 14 13.29|-35 29 24.3| 5.77|123.55537215|-35.49007215
 40357|08 14 23.88|-45 50 04.4| 5.86|123.59949300|-45.83454842
 40429|08 15 15.95|-62 54 56.2| 5.16|123.81647486|-62.91561677
 40526|08 16 30.95|+09 11 08.4| 3.53|124.12895101|+09.18566295
 40646|08 17 50.42|+59 34 16.1| 5.63|124.46008016|+59.57112846
 40678|08 18 17.39|-35 27 06.1| 5.59|124.57244799|-35.45170517
 40680|08 18 18.78|-65 36 47.7| 5.06|124.57823985|-65.61324550
 40693|08 18 23.78|-12 37 47.2| 5.95|124.59908460|-12.62976955
 40702|08 18 31.27|-76 55 11.9| 4.05|124.63027850|-76.91998251
 40706|08 18 33.39|-36 39 34.3| 4.44|124.63913830|-36.65953286
 40772|08 19 17.18|+62 30 25.7| 5.73|124.82159867|+62.50713912
 40793|08 19 32.21|+75 45 24.7| 5.55|124.88421821|+75.75686931
 40817|08 19 49.00|-71 30 54.0| 5.33|124.95414818|-71.51499632
 40834|08 20 00.56|-71 30 19.7| 5.63|125.00232960|-71.50546247
 40843|08 20 03.87|+27 13 07.0| 5.13|125.01613464|+27.21862138
